ID,Sikayet Icerigi
1733,"Selam Sayın Garanti Bankası Yetkilisi, Garanti kredi kartlarımı Master altyapısından Troy altyapısına taşımamdan dolayı 3 veya 4 ay önce kapattırdım. Taksitli alışverişim vardı, o alışverişimin taksitleri Mayıs faturası ile bitti ve kartlara borcum kalmadı. Borçsuz bir şekilde kapattım. Kartlarım mobil uygulamadan kayboldu, gözükmüyordu. Bugün, 02/07/2024 tarihinde Troy kartlarımın borçlarını öğrenmek için mobil uygulamaya giriş yaptım ve gözükmeyen Mastercard geri gelmiş, kapalı gözükmeyen American Express kartıma Norton Anti-Virüs 569,99 TL borç yansıtmış. Son ödemesi 01/07/2024 olan bu borcu geçen sene Norton abonelik yenilemeli talimat verdiğim için ödedim ve dekontunu aldım. Lakin aklıma sorular takıldı: Borcu olmayıp ödemeleri bitmiş kapalı bir kredi kartı nasıl açıldı ve bana bu borç nasıl yansıtıldı? Yasal değil gibi duruyor ya da bankanın güvenlik zaafiyeti var. Kapalı kart ve mobil uygulamadan tamamen silinmiş kart bugün sürpriz yaparak dönüş yapmış. Şans eseri görmüş oldum, ya görmeseydim ve görmediğim için ödemeseydim bu borçla kredi notum etkilenir miydi? Sonuç olarak, yasal değil, bir yanlışlık var, bir güvenlik zaafiyeti var. Ama ödedim, sorun çıkar mı? Karşı taraf Norton Anti-Virüs ödemeyi almazsa, diğer kartımı tanıtmıştım, ondan da aynı ödemeyi alır mı? Bankayı aradım, hiçbir şey yapamayacaklarını ve şubemle görüşmem gerektiğini söylediler. Müşteri temsilcisi yorum bile yapamadı. Çözüm olsunlar diye aradık, maalesef yardımcı olamadılar."
1734,"Merhaba, Kremlinco'dan bir çanta aldım ama 100 lira bile etmez. İade etmek istiyorum. Kimse benimle ilgilenmiyor, kimse mesajlarıma cevap vermiyor. Bu nasıl bir işletme ya? Resmen 100 liralık malı bana yollamışlar. O kadar para veriyoruz, kötü bir eşya için mi? Benimle ilgilenilmesini istiyorum."
1735,"İnternet sitelerinden iki kılıf aldım. Satın aldığım iki kılıf yerine almadığım başka bir kılıf gönderildi. İki ürün parası ödedim, beğendiğim kılıflar yerine tek bir kılıf geldi. WhatsApp'tan ve Instagram'dan yazıyorum, asla geri dönmüyorlar. Karşınızda sorun çözecek muhatap bulamıyorsunuz. Güvenilir sitelerden alın."
1736,"T. S***** Hukuk diye hukuk bürosu olduğunu söyleyen kişi/kişilerden 0312 905 53 72 numaralı telefon bilgileri içeren, dosyanız hukuk büromuza devredilmiştir mağdur olmamak için arayınız şeklinde mesajlar aldım. Emin olmama rağmen ben kontrollerimi yaptığımda hiçbir yasal borcum olmadığını gördüm. Bu sebeple, T. S***** Hukuk'tan ya da buna benzer yanıltıcı hukuk büroları adı altında yerden hiçbir suçlamayı, adıma açılacak ya da açılmış olan hiçbir hesabı, kredi başvurusunu, para transferlerini, kumar işlemlerini, alım-satım, devir, kefil işlemlerini ve kaçak bahis site işlemlerini onaylamıyorum, sorumluluk kabul etmiyorum. Hiçbir ceza dosyam bulunmamakta olup, bu tür bir mesajla karşı karşıya kaldım. Herhangi bir suçlamayı, adıma açılabilecek veya açılmış olan hesapları, kredi başvurularını, para transferlerini, kumar işlemlerini, alım-satım, devir, kefil ve kaçak iddia bahis işlemlerini onaylamıyor ve hiçbir sorumluluk kabul etmiyorum."
1737,"Hep bu çıkıyor. Parada var ama olmuyor. Ne yapsam, kredi kartı bilgileriniz kredi kartı şirketi tarafından reddedildi diyor. Hep kartta para da var. 10 dolar yatırdım, indirim gitmeden almaya çalışıyorum ama bir türlü olmuyor. 10 nedense oldu ama 5 olmuyor. Sorun çözülürse çok sevinirim."
1738,"Metka hukuk sürekli icra takibi başlatacağız diye tehdit ediliyorum. Müvekkil firmamıza ait borcunuzu icra takibi başlamadan faiz indirimi ile ödemek için 0533***** arayınız. Diyorlar. "" Benim hiç kimseye ya da kuruma hiçbir şekilde bir borcum yoktur. Metka hukuk firmasından şikayetçiyim. Gereğinin yapılmasını rica ederim"
1739,37'li numaralardan sürekli bahis mesajı geliyor gün aşırı en az 10 tane aşırı rahatsız edici hattımı operatör değiştirmek istemiyorum sorunumun çözülmesin istiyorum. Bahis sitelerinden mesaj gelmesin artık yeter. Evde huzur kalmadı. Vodafone Lütfen çöz
1740,"30 Haziran günü taahhüdüm biteceği için 28 Haziran akşamı 542'yi arayarak 2 gün sonra bitecek taahhüdümün yenilenmemesini ve hiçbir tarifeye katılmadan TL yükleyerek hattımı kullanmaya devam edeceğimi söyledim. Telefonda görüştüğüm hanımefendi ise ""İsterseniz içerisinde 1 GB internet, 1500 dakika, 250 SMS bulunan vergiler dahil 204 TL'lik bir paketimiz var. İsterseniz onu yapalım"" dedi. Ben de durma özelliği ücretsiz ise işleme devam edelim dedim. Hanımefendi ise durma özelliğini ekleyeceğini söyledi ve işlemlere devam etti. Beni yaklaşık 5-6 dakika beklettikten sonra sistemin yoğunluğundan dolayı işlem yapamadığını, numaramı not aldığını ve ben telefonu kapattıktan sonra tekrar deneyeceğini, o tarifeyi onayladıktan birkaç gün sonra 542'yi arayıp durma özelliğini aktif hale getirebileceğimi söyledi ve telefonu kapattım. Yaklaşık yarım saat sonra tarife ile ilgili mesajlar geldi. O günün üzerinden 3 gün geçti ve ben de durma özelliğinin aktif edilmesi için 1 Temmuz akşamı 542'yi aradım ve gerekli işlemin yapılmasını rica ettim. Fakat telefondaki hanımefendi bana aylık faturaya 49 TL ekleneceğini söyledi. Ben ise ""3 gün önce görüştüğüm hanımefendi bana ücret talep edileceğini söylemedi"" dedim. Kendisi ise ""Arkadaşım adına özür diliyorum. Size yanlış bilgilendirme yapmış"" dedi. Ben ise ""Öyleyse yaptığınız hatayı düzeltin ve benim hattımı TL yükleyerek arama yapmaya ayarlayın"" dedim. Hanımefendi bu durumda 220 TL cayma bedeli çıktığını söyledi ve tam anlamıyla başımdan aşağı kaynar sular döküldü. Görevli arkadaş yanlış bir bilgilendirme yapıyor ve ben bunun bedelini 220 TL cayma bedeli ödemeye tabii tutularak ödüyorum. Herhangi bir işlem yapılmasına müsaade etmedim. Vodafone şirketinden benden cayma bedeli almadan hattımı TL paketine çevirmesini veya ücretsiz bir şekilde durma özelliği eklemesini ya da ücret iadesi yapmasını rica ediyorum. 2004 yılından beri Vodafone müşterisiyim ve bu benim son birkaç ay içerisinde yaşadığım ikinci olay. Gerçekten yakıştıramadım Vodafone gibi bir şirkete. Sorunumun acilen çözülmesini arz ediyorum. Aksi takdirde farklı bir operatöre geçiş yapacağım."
1741,"Garanti Bankası 3 aydır bloke hesabımdaki parayı hesabıma aktarmıyor. VakıfBank kredi kart borcum vardı, kapattım. Garanti Bankası'na gittim, borç kapandı diye hiç yardımcı olmadılar. Garanti Bankası'nı CİMER'e şikayet ettim, benim blokede olan paramı versinler. Benim hiçbir bankaya borcum yok. Yetkililerden yardım istiyorum."
1742,02.07.2024 tarihinde bu numaradan aradım. Benim bir ürün aldığımı telefon numarasının bana ait olup olmadığını sordular ürünü almadığımı söyleyip kapattılar. Başıma gelecek ve kanunen sorumluluk doğuracak durumları kabul etmiyorum. Doğacak sorunlar bilgim dahilinde değildir ve kabul etmiyorum. Şikayetim geçerlidir.
1743,Üyelik iptali yapmıyorlar. Gelen e-postlardan bıktım. Postaların altındaki üyelikten ayrıl butonu çalışmıyor. Siteden üyelik iptali yapılmıyor. Lütfen adresime e-mail atmayı bırakın ve üyeliğimi iptal edin. Sizden e-posta almak istemiyorum. Üyelikten ayrılmaya çalışınca alttaki ekran görüntüsünü veriyor ve üyelikten ayırmıyor sistem.
1744,14.06.2024 tarihinde saat 20.55 te Migros Yemek uygulaması üzerinden Cajun Corner isimli restorandan 451554055 sipariş numarası ile 165 TL tutarında yemek siparişi verdim. Yaklaşık 1.5 saat civarı geciken siparişimi iptal etmek istedim ama uygulama izin vermedi bana teslim edileceğini söyledi. Ardından 2 saat sonra restorandan beni aradılar ve siparişimin kurye kaynaklı sorundan ötürü teslim edilemeyeceğini ve iptal edileceğini söylediler bende kabul ettim. İşlemin üzerinden 2 hafta geçti ancak hala bir iade tutarı tarafıma yansıtılmadı. Üstelik uygulamaya girdiğimde bana ulaşmayan siparişin bana teslim edildiği yazıyor. Yiyemediğim yemeğe ödediğim ücretin tarafıma iade edilmesini istiyorum.
1745,"Karaca müşteri hizmetleri ilgilenmiyor. Blender seti aldım, 2 ayda bozuldu. Kaç yeri aradım, yönlendirip duruyorlar. Bir kargo numarası vermediler. Ürünü tamir için göndermek istiyorum. Garantisi de var ama Karaca ürününe sahip çıkmıyor. Lütfen benim bozuk blenderimi tamir edin."
1746,EasyCep'ten bir telefon aldım. Mükemmel olduğunu belirttikleri telefonun birçok parçası değişmiş şekilde geldi. İade formu oluşturdum. Telefonu iade edeli 10 gün olduğu halde hala iademi geri yatırmadılar. Bunların yüzünden boş yere kredi kartı borcu ödemek zorunda kalıyorum.
1747,"06 J 0520 plakalı araç şoförü, 16 yaşında olmama ve liseye gitmeme rağmen öğrenci ücretini kabul etmedi ve saldırgan tavırlar gösterdi. Şoförün saldırgan tavrından dolayı başıma bir şey gelmesin diye tam ücreti ödemek zorunda kaldım. Yaz tatilinde üstümde öğrenci kimliğimin olmamasını bilmeme ihtimali olmayarak bu durumu bahane etti. Normal kimliğimi göstermek isteyince fazladan para alamayacağından onu da kabul etmedi ve saldırgan tavrına devam etti."
1748,Klima montaj sırasında saplama demir için bin tl alan LG servisi. Şikayet etmeme rağmen umurumda olmayan LG merkezi. LG markasını bir daha eve sokmam arkasında durmayan kalitesizmiş siniz. Bir daha cevap vermiş ücret alınabilir diye. Diğer markalar almıyor sizin özelliğiniz ne.
1749,"Çalışanlar kaba saba, üslup denen bir şey yok. Müşteri memnuniyeti yok, insan gibi cevap vermek yok. Kızı erkeği aynı şekilde. Esenler'den bahsediyorum. Mecbur kaldık, aldık. Eminim öyledir de zaten. Bunlarla bu firma batar."
1750,"Tarafıma gelecek olan iki kargoyu karıştırmışlar, teslim edildi gözüken kargo üç gündür dağıtımda ancak hala gelmedi, teslim edilmediği gözüken kargo ise geldi. Telefonları asla açmıyorlar yazık ya şubeye gittiğimde dağıtımda bugün gelir dediler ancak yok. Sorunumun acilen düzelmesini talep ediyorum inanılmaz bir sorumsuzluk"
1751,Payfix blokesi
1752,Philips filtre kahve makinesi aldım. Ürünü kullandıktan Bir ay sonra ürün buhar vermeye ve kahve işlemini sonlandırma maya başladı Üsküdar'daki Philips yetkili servise götürdük onarımı yapıldı dendi bize teslim edildi fakat ürünü alıp eve geldikten sonra ürüne bir onarım yapılmadığını anladık Çünkü aynı sorun yine devam etmekte. Üsküdar Philips yetkili servis ile görüşme sağladığımızda. Bizim yapacak bir şeyimiz yok dendi. Philips Üsküdar yetkili servis biz arayınca bu bilgiyi verdi. Ürün ellerine gelmiş genel merkezden ve aramadılarda bizi ve ben ürünü merkeze yollamadıklarını düşünüyorum çünkü hiçbir bilgi mesajı dahi gelmedi. Genel merkeze gittiğine dair önceden gelmişti. Lütfen bize yardımcı olur musunuz. 3 aylık cihaz garantisi devam eden ürün ve kusurlu ürün. Değişim talep ediyorum. Aksi halde yasal haklarımı kullanacağım elimizde video ve görseller mevcuttur.
1753,"Kargom bugün dağıtımdaydı ben teslim almadığım halde saat 16.10 da kendisine teslim edildi diye mesaj geldi. Tüm gün evdeydim eve gelen olmadı ama teslim edildi diye mesaj atıyorsunuz. Ben almadığım halde, kargo gelmediği halde nasıl böyle bir mesaj gelebiliyor?"
1754,"E-Devlet üzerinden elektrik desteği yardımı ile faturamı ödeyemiyorum. CK Boğaziçi gibi bir kısaltma yok, diğer kurumların mevcut fatura ödeme ibaresinden PTT sayfasına gidiyor ama kurumlar arasında CK Boğaziçi ibaresi yok. Yardımcı olursanız sevinirim. Ayrıca PTT de sistem çalışmıyor diyerek işlem yapmıyorlar. Bana e-Devlet üzerinden yapmamı söylediler. Buradan da bu sorun çıkıyor. Üstelik son ödeme günlerim için ihbar da geldi. Ödeme yapmam gerek, acil yardım bekliyorum."
1755,Allianz Sigorta'ya üyeliğim olmamasına rağmen farklı birinin isim ve t. C. Kimlik numarası ile telefonuma doğrulama mesajı geldi. Onay ya da ret için mesaj atmam isteniyor. Telefonla yanıltmanın yaygın olduğu bir dönem olduğundan telefonuma gelen mesaja dönüş yapmak istemiyorum. Sistemlerini kontrol etmeleri gerektiğini düşünüyorum.
1756,"07.05.2024'te sipariş ettiğim ve ücretini ödediğim oyuncak silikon bebek gönderilmediği için ödememin geri iadesini istediğim halde 2 aydır iade yapılmadı. Teslim süresi geldiğinde firmadan önce yurt dışı tedariğinde sorun olduğu bildirildi, daha sonra ürün bedelinde indirim yapılarak geri ücret iadesi veya ürün gönderilmeden ödemenin geri iadesi yapılabileceği bildirilmesine rağmen bugün 02.07.2024'e kadar iade yapılmadı."
1757,"2 Haziran 2024'te Kayısıkent firmasına ait 4172856 PNR biletimi iptal ettim. Bugün 1 ay oldu. Ücret iademi yapmadılar. O bilete yazıyorum, bankanıza iade ettik diye. Bankayla görüşün. Bankayla görüşüyorum, iade yok, bize iletilen diyor. 1.400 TL çöp oldu. Çok yazık."
1758,"Kuryenet, 1 haftadır 7324177013117 takip numaralı Kuveyt Türk ATM kartını teslim etmiyor, dağıtıma çıkarmıyor. Bankanın müşteri hizmetlerini aradığımda kurye adreste bulunamamış diye not düşmüş sözde. 2024 yılında yaşıyoruz. Telefon numaram belli, bir arama zahmetinde bulunsa adreste olduğum belli. Böyle işini aksatan kargo firması görmedim."
1759,"Hepsiburada'dan sipariş vermiştim, bugün tarafıma ulaştırılacaktı. Ben eczanede çalışıyorum. Eczanenin en yoğun olduğu zamanda kurye beni aramış, duymamışım ama evde kardeşim vardı. Kurye eve gelmemiş hiç. Hepsijet normalde 2 kere dağıtıma çıkıyormuş ama kurye asılsız bir şekilde ""alıcı adreste tanınmamaktadır"" ibaresini işaretlemiş, 2. kez dağıtıma çıkmamak için. Kuryelerinizin bu yaptığı usulsüzlük kabul edilebilir değil maalesef."
1760,TurkNet iletişim sorunu TurkNet'ten almış olduğum interneti iptal ettirmedim ve elimizde bulunan modemi iptal etmem gerektiğini söylediler fakat nereye nasıl iade edeceğim konusunda pek yardımcı olmadılar. Online işlemlerden yapmam gerektiğini söylediler ama online işlemlere giriş yapamıyorum. 10 gün içinde iade etmezsem para cezası olduğunu söylediler ama yardımcı olmadılar.
1761,24. 06.2024 tarihinden kargoya verilen siparişim hala teslim edilmedi Teslimat suresi gecikti. 27.06.2024 tarihinden beri transfer merkezinde ürün teslim edilmiyor. Ürün elimde olmadığı için iade de edemiyorum. En kısa sürede teslim edilmesini veya iade edebilmeyi talep ediyorum
1762,8202401223060 takip numaralı gönderi için son durum bilgisi: İlgili şubemize sevk aşamasında Gecikme için özür dileriz. Gönderiniz şu an Balıkesir ilindedir. . 18 Haziran 2024 tarihinden itibaren gönderim gelmedi . Ne zaman teslim edileceği belli değil ve aradığımda cevap yok
1763,28 Haziran tarihinde Trendyol Express kargo şubesine verilen 1014251547417080 takip numaralı kargomuz ortada yok. Kargo şirketinin müşteri hizmetlerini arıyorum. Daha sonra çözüm merkezimiz size dönüş yapacak deniyor. Ama kaç gün oldu ortada hiçbir şey yok maalesef. Trendyol Express kesinlikle pişmanlıktır. Kargom kaybolmuş. Ortada muhatap yok.
1764,"30.06.2024 Pazar günü için aldığımız turu 29.06.2024 cumartesi günü iptal olduğunun bilgisini vermek için Mecidiyeköy şubesinden S**** bey aradı. Son gün arayıp bilgi verdikleri için mağdur olduğumuz yetmezmiş gibi bir de S**** beyden tabiri caizse azar işittik. Müşteri ile konuşmasını hiçbir şekilde bilmeyen çalıştığı kurumu hiçbir şekilde profesyonelce temsil etmeyen bir tutum sergilediğini belirtmek isterim. Agresif tavırları ile Ortamı kızıştıran kavga ve tehdit içeren konuşmasında, bulunduğu konuma hesaplaşmak için davet etmesi ise tam bir fiyaskoydu. Ayrıca Ödemiş olduğumuz ücret kartıma halen daha yansımadı. Bankamdan teyit aldım herhangi bir ücret iadesinin olmadığının teyidini aldım."
1765,"Ebebek, 07.06.2024 tarihinde online mağaza üzerinden aldığım ürünü eksik teslim etti. Yaklaşık 1 ay olmasına rağmen mağduriyetimi gidermiyorlar ve sadakat sistemleri sadece 'ilettik' diye bilgi aktarıyor. Her gün sadakat sistemini aramaktan çok bunaldım!"
1766,"Migros sanal marketten yapmış olduğum indirimli alışverişten 6 adet Starbucks çekirdek kahve siparişi verdim. Teslimat süresine 1/2 saat kala bana atılan mesaj. Sayin müşterimiz, 461548456 numaralı siparişinizdeki ürün adedi kullanım Koşulları ve Gizlilik hükümlerine aykırılık teşkil etmesi nedeniyle siparişiniz iptal edilmiştir. Üründe adet kısıtlaması ya da alışverişe engel bir sorun olmadığı halde Migros market siparişimi keyfi iptal etmiştir. Sizden değil alışveriş yapmak marketinizin önünden bir daha geçmem"
1767,331*****824 Ramazan K********* İş Bankası'ndan kullanmış olduğum kredi kartıyla yapılan işlemlere harcama itirazında bulundum. Ancak İş Bankası harcama itirazlarım hiçbir gerekçe göstermeden reddetmektedir. Chargeback/ters ibraz’ a ilişkin aşağıda bilgilerin bankanıza bildirme zorunluluğu hasıl olmuştur.
1768,"Çiçek Sepeti'nden 25 Haziran günü bir sipariş oluşturdum. Gelen çiçeğin 3 yaprağında oldukça derin yarılmış yırtıklar mevcuttu. Hemen iletişime geçtik, yalnız bizi canlı destek birimine yönlendirdiler. Üzerinden kaç gün geçti, hala bir dönüş yok. İademizi talep ettik, iletişim kurulmuyor. Çiçeği bu şekilde nasıl müşteriye gönderiyorlar anlamıyorum. Aldıkları para uçuk, hizmet kalitesi sıfır!"
1769,Türk Telekom ev interneti de genel arıza var diye 1 ay boyunca internet vermiyorlar. Bu kapsamda taahhüt bozmak istiyorum 1600 TL cayma hakkı istiyorlar. Yani internet vermeyip iptal etmeme de engel oluyorlar bu nasıl bir saçmalık anlayamadım gitti. İnternet üzerinden her şey dönen bir dönemde 1 ay internetten mağdur ettiler. Bir daha asla...
1770,Merhaba ben geçen sene online olarak faturamı ödemek istedim fatura bedelini iki kez karttan çekim yaptı sistemsel bir hata olarak ve paramız hakkında bize dönüş yapılmadı. Tüm Vodafone servislerine ulaşım sağlandı fakat kimse bizim bu mağduriyetimizi çözüme kavuşturmadı. Aile boyu Vodafone kullanıyoruz hala çözüme ulaşmaz ise hatlarımızı farklı bir operatöre taşımayı düşünüyoruz.
1771,PayFix'e para attım 4.000 TL fraud ekibine takıldı diye mail geldi istenilen belgeleri attım. Daha sonra müşteri temsilcisini aradım ismini söylemek istemiyorum. Bana bağırarak ukalaca konuştu ve telefonu suratıma kapattı. İlk dega böyle bir şey ile karşılaşıyorum ve hala param ortada yok.
1772,24.08.2023 tarihinde Maltepe Park Carrefour SA'dan Skechers marka ayakkabı aldım. Çok fazla kullanmamış olmama rağmen iç tabanında delinmeler ve deformasyon oluştu. Carrefour SA'ya bizzat başvurarak ayakkabının incelenmesi için fabrikasına ya da alındığı yere gönderilmesini talep ettim. Daha önce böyle bir işlem yapılmadığını belirttiler. Telefonumu alıp geri dönüş yapmadılar. Yine Maltepe parkta Skechers şubesi de ürünü onlardan almadığım için yardımcı olmadı. Carrefour SA'dan sattığı ürün için satış sonrası destek bekliyorum.
1773,"Selamünaleyküm. Sabah ve akşam iş giriş çıkışının yoğun olduğu 07:00 ile 08:00 ve 17:30 - 18:30 saatlerinde tek dizi vagon yollamazsanız sevinirim. İnsanlar üst üste gidiyor, ilkel ülkelerdeki gibi birbirimizi iterek vagona sığıyor, kapıyı zor kapatıyoruz. Çıkan tartışma ve kavgalar, bayanların düştüğü çirkin durumlar, trene binemediği için işe geç kalanlar var. Lütfen bu konuda duyarlı olun, bu sorunu çözün. Sosyal medyada Ulaştırma Bakanlığına, CİMER'e konuyu yazmadan siz bir çözüm bulun. Durumdan kendi çalışanlarınız da şikayetçi, onlar da şikayet edin diyor. Bir de saatlerinde hareket etmiyorlar erken gelip erken gidiyorlar"
1774,"2017 model BMW 318 d aracımın iç kapı kolu kaplamaları deforme olmuş durumda. Söz konusu durum kronik bir sorun, BMW Türkiye'nin bu sorunu ücretsiz değişim yaparak çözdüğünü gördüm. Borusan yetkili servisinde telefonda söyledim. Kullanıcı hatası demeye çalıştı. Güneşli havada ellerim yapış yapış oluyor ve resmen dökülüyor. BMW Yetkili Servisi'nde sorunun giderilmesi için BMW Türkiye'den çözüm bekliyorum. Teşekkürler."
1775,"Merhaba, BİM'den bal almaya gittim. Şişeler yapışmıştı, alırken elimden kayıp kırıldı. Yetkili çağırdım, bana dedi ki 'Ücretini vereceksiniz, iade edemiyoruz.' Kapağı açılmamış, iade edin dedim. Sözde mağaza müdürü ile 10 dakika tartıştım. Sizin müşteri hizmetlerini arayacağım dedim, öyle vazgeçti ücretini almaktan. Gereğinin yapılmasını arz ederim."
1776,"ÖSYM tarafından 8 ve 9 Haziran'da yapılan TYT, AYT sınavında görev aldım. Görev alan arkadaşların bayram öncesi ücretlerinin yattığını söylediler. Ücretlerin Haziran sonuna kadar yatmaya devam edecek bilgisi ile bekledim ama bugün 2 Temmuz ücret yatırılmadı. Sınav değerlendirme formunu doldurdum. Bilgilerimi, IBAN numarasını kontrol ettim. Eksiklik yok. İlgili makama bu konu hakkında gereğini arz ederim."
1777,"1 Temmuz 2024 tarihinde yanlışlıkla Bitci hesabına göndermiş olduğum 600.000 TL'nin iadesini istiyorum. Canlı destek hattıyla defalarca görüştük, mail attım ama bir sonuç elde edemedim. Lütfen konuyla acilen ilgilenilmesini istiyorum yoksa ilgili mercilere şikayette bulunacağım."
1778,"27.06 tarihinde bağlanan Turkcell Superonline fiber internetten sağlıklı bağlantı alamıyorum. Konuyla ilgili defalarca şikayet oluşturdum. 4 defa sıfırdan kablo çekildi, 3 defa da modem değişti. Bağlantım yarım saat bir saat iyi çalışıyor sonra tekrar yavaşlamaya ve kopmaya başlıyor. 40 dakika'lik bir videoyu 60 dakika'da ancak seyredebiliyorum. Basit resimleri dahi açamıyorum. Bugün Aydın/Efeler ofisinizle tekrar görüştüm. Bana iletilen altyapı sorunu olduğu. Madem altyapı sorununuz vardı neden bana fiberi öve öve sattınız. Şimdi altyapınızı çözmenizi mi bekleyeceğim. Bu sırada internet üzerinden hiçbir iş yapamıyorum. Beni eski bakır kablolu normal internete geri geçirin diyorum. Daha fazla para istiyorsunuz. Hem mağdur olan benim hem daha fazla para ödeyen benim. Şu andaki fiber bağlantı için ödediğim ücret üzerinden DSL bağlantımı geri istiyorum. Eğer sorunumu çözemeyecekseniz de cayma bedeli olmaksızın aboneliğimin iptalini istiyorum."
1779,Nihai kararda 3 ay vaade ile 6.000 TL tutarındaki kredim onaylandı yazılmasına rağmen hesaba aktarılmamaktadır. Nihai karar olarak onaylandı denilirken durumda değerlendirme devam ediyor demekte. Elimde ekran görüntüsü aldığım fotoğraf mevcuttur. Gereğini arz ederim.
1780,"Kaliteli diye Daikin marka klima aldım. Emay İklimlendirme'den işten anlamayan bir ekip geldi. Kötü bir montaj yapıldı. Cihazı istediğim yere takmadılar. Ne balkon camı açılıyor ne de çamaşır serebiliyorum. Arıyorum, karşımda muhatap yok. Gelen ekip, Daikin'in yetkili servis personeli değil, Daikin'e taşeron iş yapan bir başka firma."
1781,"Faturamın son ödeme günü 21.06.2024 olmasına rağmen internetim kesilip yeniden hızlandırma adı altında 160₺ talep ediliyor. Oysaki zaten 21.06.2024 tarihinde ödemiş bulunmaktayım. Daha önce emsal bir kararda bir başka Turkcell Superonline kullanıcısı ödememiş. Kesinlikle durumdan şikayetçiyim ve bu ücreti ödemeyeceğim. Emsal kararında altta belirtiyorum bu kullanıcının ödemediğini, ben niye ödeyeyim? Siz hiç mi faturayı unuttuğunuz olmadı? Böyle bir sistem olmaz, para kolay kazanılmıyor. Kesinlikle şikayetçiyim. Konuyla acil bir şekilde benimle iletişime geçin, yoksa sizinle tüketici haklarında görüşmek üzere."
1782,"2 Temmuz 2024 tarihinde paketleme işine başvuru yaptım. Online paketleme sistemi aracılığıyla evde ek iş olarak sabun paketlemek için telefondan WhatsApp üzerinden iletişime geçtim. İstenilen ad, soyad, telefon numaram ve bilgilerimle beraber açık adresimi içeren bir mesaj yolladım."
1783,"0 (850) 484 10 14 numaralı bir telefondan arandım. İnternet taahhüdü hakkında bir şeyler söyledi ve 1 tuşlamamı istedi. İlerleyen zamanlarda oluşacak hiçbir olumsuz durumu kabul etmiyorum. Bu numarayla ilgili başka şikayetler de olmuş sanırım. Anlamıyorum, yetkililer ne zaman bir şey yapacak? Bu tür konular hakkında başımıza bir şey gelse biz suçlu olacağız."
1784,Dijitsu TV aldım montaj etmeyecek sadece kutusunu açıp fişe takacak servis kurulum için 750 TL para istiyor. Sanki şehir dışından geliyor alt tarafı 5 km yerden geliyor. Bu kadarda olmaz 300 lira anlarımda 750 TL ne demek. Bir de Trendyol'dan aldığım için ücretsiz olması gerekiyor. Bir de yorumlarda ücretsiz yazıyor
1785,Vodafone şirketinden 2022 yılında açtığım faturasız hat daha sonra kullanmadığım için kapatıldı ve 2023 yılında benim onayım olmadan tekrar aktive edilip adıma borç çıktı. Şans eseri borcumu fark ettim ve ödedim. Bu yaptığınız düpedüz haksızlıktır. Ben fark etmeseydim borç icraya düşecekti ve daha çok zarar edecektim.
1786,"23 Haziran 2024 tarihinde, Trendyol'dan aldığım ürünleri. Hala getirmediler, aramadılar sormadılar. Yaklaşık 10 gündür mağdur oldu. Trendyol'a durumu 4 defa bildirdim, onlar da bir çözüm bulamadılar. Mağduriyetimi giderilmesini istiyorum. Gereğini arz ederim."
1787,amazon.com.tr siparişini verip parasını ödediğim kedi mamasını göndermiyor. 22.06.2024 tarihinde Amazon.com.tr üzerinden kedi maması ve kedi kumu siparişi verdim. Kum geldi ancak mama gelmedi. Bunun üzerine mobil uygulama üzerinden satıcıyla iletişime geçmeyi denerken siparişlerim sekmesine tıkladığımda boş olduğunu gördüm. Amazon müşteri hizmetleriyle iletişime geçtiğimde her nedense hesabımda erişim kısıtlaması olduğunu ve açılması için 24 saat içerisinde mail göndereceklerini ve beklemem gerektiğini söylediler. Bekledim gelen giden yok bugün (02.07.24) tekrar aradım yine aynı konuşmalar ve bir 24 saat daha beklememi söylediler. Evdeki mama bitmek üzere. Bir 1500 TL daha verip başka yerden tekrar alacak durumum yok. Kedilerim Amazon un vurdumduymazlığı yüzünden aç kalacaklar. Teşekkürler Amazon!
1788,"Viessmann'dan servis randevusu alabilmek için çağrı merkezine 15-20 günde ulaşabildim. Kesinlikle telefonu açmıyorlar. Klima montajı randevusu için bu kadar uğraştım, bir 15-20 gün daha servisin montaj için beni aramam gerekiyormuş. Yani 25.000 ₺ verip aldığım klimayı, yazın sonlarına doğru taktırmış oluruz herhalde."
1789,"Merhaba macro marketten 4'lü paket bira alımından sonra kasaya gittiğimde, raftaki fiyattan yüksek bir fiyatın geçtiğini gördüm. Mağaza yetkilisiyle görüştük, haklı olduğumuzu söyleyerek sadece bir şişenin ücretinin iade edecekleri prosedürün bu şekilde olduğunu belirttiler. Bu durumu tel ile bildirdik, mağazaya tekrar yönlendirdiler. Bu kez yetkili istersek bizlere aynı ürünü hediye edebileceklerini ancak bu ücretin mağaza çalışanlarından ödetileceğini bildirdi. Tabi ki kabul etmedik. Bu durumda kim mağdur oldu her zaman olduğu gibi müşteri olarak biz. Ne yapmamız gerekir bilmiyorum, ücreti bir yana haksızlığı rahatsız edici"
