ID,Markalar
1294,CEO Ceylan Otantik
1295,Halal Paradise Didim
1296,Godaddy
1297,Bilginet Akademi
1298,DHL
1299,TCL Electronics
1300,Verifykit
1301,Betpublic
1302,ASAT (Antalya Su İşleri)
1303,Anpa Gross Market
1304,Harras
1305,Patiswiss
1306,Blue Diamond
1307,Chicco
1308,T.SUNBUL HUKUK (SMS)
1309,Fedex
1310,Eker
1311,Elazığ Belediyesi
1312,Tuğba Giyim
1313,Tümbet
1314,Calzedonia
1315,Alaşehir Sarıkız Turizm
1316,Sodyolk
1317,EDM Bilişim
1318,OnlyFans
1319,Kanal D
1320,Dr. Oetker
1321,Yargı Yayınevi
1322,Alo 184 Sağlık Bakanlığı İletişim Merkezi
1323,Nautica
1324,Danone Tikveşli
1325,WEACCEPT (SMS)
1326,Ferre
1327,Tazedirekt
1328,Konya Şehir Hastanesi
1329,Sanica
1330,Armağan Oyuncak
1331,Ekinler Profesyonel El Aletleri
1332,Fantom Fanset Elektrikli Ev Aletleri
1333,Alo 170 Çalışma ve Sosyal Güvenlik İletişim Merkezi
1334,Bahisal
1335,Ciceksepeti.net
1336,Bynogame
1337,Addax
1338,Zeynep Boutique (Zen Tesettür)
1339,By Merve Kaya
1340,Gaziosmanpaşa Belediyesi
1341,Tatbak Gıda
1342,PTS Kargo
1343,Türk Silahlı Kuvvetleri
1344,Sevgievim
1345,Jeton
1346,Petlas Lastik
1347,Delonghi
1348,Engince Yaşam Alanları
1349,Happy Moon's
1350,MokkaBet
1351,Arabica Coffee House
1352,İklimsa
1353,TREDAŞ
1354,Budget (budget.com.tr)
1355,Mersin Nur Turizm
1356,Casinometropol
1357,Ecrou
1358,Kütahya Porselen
1359,Yüzyıl Pendik Hastanesi
1360,Oyak Yatırım Menkul Değerler
1361,Missha
1362,Freestyle Libre
1363,Özlem Cizre Nuh Turizm
1364,KOSGEB
1365,arabam.com
1366,İstanbul Aydın Üniversitesi VM Medical Park Hastanesi
1367,Maltepe Belediyesi
1368,Ultrabet
1369,Avansaspro.com
1370,Delta Teknik Servis
1371,Betsmove
1372,Wunder
1373,Fenomenbet
1374,LESEQUENCE
1375,Vozol Center
1376,Çaykur Didi
1377,Novacar
1378,Yeni Aksaray
1379,ZipCar
1380,0850 800 55 00
1381,Malatya Büyükşehir Belediyesi
1382,New Holland
1383,Fanta
1384,Emin Sigorta
1385,Gratis Beauty
1386,Faya Boutique
1387,Banvit
1388,eFootball
1389,Amigo
1390,Adana Şehir Hastanesi
1391,Probet
1392,Touristica Tur
1393,Mackolik.com
1394,Aytemiz Akaryakıt
1395,Ipsos
1396,Hatemoğlu Giyim
1397,Dimes Gıda
1398,OEDAŞ
1399,Usdtzad.com
1400,GREE Klima
1401,Fresh Scarfs
1402,HitBet
1403,Keçiören Belediyesi
1404,RE/MAX
1405,Evdiz
1406,Donas
1407,Tempobet
1408,MESKİ
1409,Twitch
1410,Elfida Moda
1411,Canva
1412,Penivagi Premium
1413,Tuğba Kuruyemiş
1414,TBB (Türkiye Bankalar Birliği)
1415,Kadıköy Belediyesi
1416,Merkez Çiçekçim
1417,Levi's
1418,İnteraktif Vergi Dairesi
1419,Şahinbey Belediyesi
1420,İmece Tasarruf
1421,Antalya Net Seyahat
1422,Araç Kiralama Markaları Adıyla Dolandırıcılık
1423,Ümraniye Belediyesi
1424,Europcar
1425,Selçuklu Belediyesi (Konya)
1426,TT Smart - Mnc Grup
1427,Kitapmatik.com.tr
1428,Malitur
1429,PALGAZ
1430,Kappatur
1431,Teknobiyotik
1432,Reel Alacak
1433,Geofind
1434,Mobilcasino
1435,Ofansifbet
1436,İstanbul Çiçekleri
1437,Van Büyükşehir Belediyesi
1438,BlaBlaCar
1439,Bilet.com
1440,Teknofix
1441,Dumanbet
1442,MetaMask
1443,YDS Boots
1444,Kidega
1445,Bercislina Güzellik Merkezi
1446,Voidtr
1447,MEDAŞ
1448,Beylikdüzü Belediyesi
1449,Kızılay Sağlık Grubu
1450,Betwinner
1451,Cizre Nuh İtimat
1452,Anadolu Net
1453,Suud Collection
1454,Mükellef (mukellef.co)
1455,Bursa Nilüfer Belediyesi
1456,Ersoy Hastanesi
1457,Jeanslab
1458,Koru Hastanesi
1459,Betibom
1460,Zirve Yazılım
1461,Otoyol A.Ş
1462,Naos Stars
1463,Etimesgut Belediyesi
1464,NadirKitap
1465,Lüks Karadeniz
1466,BygWear
1467,Casinowon
1468,Clash of Clans
1469,Genciz Biz
1470,Çankaya Belediyesi
1471,Alternatif Bank
1472,Crocs Terlik & Ayakkabı
1473,Rivaİstanbul
1474,Palacebet
1475,Yeşil Kundura
1476,Jacobs
1477,Türkiye Hastanesi
1478,Zeplin Car Rental
1479,Uni Baby
1480,Alaçatı Muhallebicisi
1481,Dara Aksesuar
1482,H&R Butik
1483,Yunus Market
1484,Volvo
1485,Hotmail.com
1486,Kayra Giyim
1487,SPX
1488,Haydigiy.com
1489,Financell (Turkcell Finansman)
1490,GoStudent
1491,Remini
1492,Köfteci Ramiz
1493,New Well
1494,Enerjisa Toroslar Elektrik Perakende
1495,Yui
1496,Ender Mağazaları
1497,Gebze Belediyesi
1498,Erzurum Büyükşehir Belediyesi
1499,Pasaport Pizza
1500,Master Card
1501,Kraft Baby
1502,Maritbet
1503,RadissonBet
1504,Rubrax
1505,Katılımevim
1506,Vbettr
1507,Penta Teknoloji
1508,Crystal Hotels
1509,Kale
1510,Enerjisa Başkent Elektrik Perakende
1511,Gaming.gen.tr
1512,Alarko Carrier
1513,Betdog
1514,Playcenter
1515,SASKİ
1516,Goon Bebek Bezi
1517,Ege Üniversitesi Hastanesi
1518,Yalı Spor
1519,Gallery Crystal
1520,Fix Center Telekomünikasyon
1521,Perde.com
1522,Aspercasino
1523,Kahramanmaraş Büyükşehir Belediyesi
1524,Fullamoda
1525,Metro İstanbul
1526,Öz Çeyiz (ozceyiz.com)
1527,Deji Mucize Batarya
1528,Hero Motosiklet
1529,Prins
1530,Corendon Airlines
1531,Vatangame.com
1532,Balıkesir Hakser Turizm
1533,Octovan Express
1534,Raid
1535,Gloria Jean's Coffees
1536,Teksüt
1537,Gaus
1538,Sante Çağrı Merkezi
1539,Alveus
1540,Trabzon Büyükşehir Belediyesi
1541,360 Vrtube
1542,Abant Su
1543,Golf Dondurma
1544,Helppay
1545,otoplus letgo
1546,Kolaybet
1547,Bilicra
1548,Ayrem Korse
1549,Atiker
1550,Midpoint
1551,Bebelac
1552,Bodrum Belediyesi
1553,Bittroy
1554,Getcontact
1555,Etsy.com
1556,Roidmi
1557,Hawk Gaming Chair
1558,Sırma
1559,Mardin Büyükşehir Belediyesi
1560,Duymer İşitme Cihazları
1561,İncimia Design
1562,Under Armour
1563,Beşir Derneği
1564,Piyale
1565,UNICEF
1566,Nakitbahis
1567,GKN Kargo
1568,Epin Tower
